user_id,avg_monthly_spend,data_usage_gb,days_since_last_recharge,signal_strength_score,active_plan,support_tickets_open,churn_risk_score
JAZZ_0187,74.05,3.39,24,0.63,Standard,2,0.76
JAZZ_0188,71.48,15.05,19,0.16,Premium,0,0.5
JAZZ_0189,42.56,35.41,33,0.43,Flexi,2,0.92
JAZZ_0190,27.61,3.37,25,0.75,Standard,0,0.32
JAZZ_0191,108.42,29.11,4,0.28,Standard,2,0.72
JAZZ_0192,108.74,17.29,34,0.28,Standard,1,0.79
JAZZ_0193,81.88,31.05,27,0.11,Premium,0,0.6
JAZZ_0194,52.32,2.29,28,0.49,Standard,0,0.45
JAZZ_0195,53.35,43.58,8,0.89,Standard,0,0.12
JAZZ_0196,91.21,48.67,37,0.15,Flexi,2,1.07
JAZZ_0197,108.41,48.44,5,0.27,Flexi,1,0.54
JAZZ_0198,107.4,37.48,18,0.38,Standard,0,0.41
JAZZ_0199,96.63,6.5,43,0.76,Standard,0,0.48
JAZZ_0200,82.77,37.91,10,0.68,Flexi,0,0.22
JAZZ_0201,26.71,1.23,1,0.47,Premium,0,0.22
JAZZ_0202,34.49,1.11,43,0.78,Premium,1,0.67
JAZZ_0203,108.55,16.18,43,0.65,Premium,2,0.92
JAZZ_0204,79.2,24.43,8,0.91,Premium,1,0.31
JAZZ_0205,19.17,38.52,20,0.84,Premium,0,0.24
JAZZ_0206,28.45,34.16,23,0.33,Premium,1,0.67
JAZZ_0207,84.93,22.3,33,0.34,Premium,0,0.56
JAZZ_0208,18.76,13.68,21,0.21,Premium,2,0.9
JAZZ_0209,34.41,49.86,2,0.4,Flexi,2,0.66
JAZZ_0210,73.4,21.31,11,1.0,Premium,2,0.5
JAZZ_0211,87.79,22.57,27,0.47,Premium,0,0.45
JAZZ_0212,83.77,8.18,29,0.3,Premium,1,0.74
JAZZ_0213,40.79,39.74,25,0.79,Standard,2,0.71
JAZZ_0214,89.82,34.68,20,0.59,Flexi,0,0.34
JAZZ_0215,42.09,11.04,27,0.23,Flexi,0,0.55
JAZZ_0216,50.95,4.12,25,0.44,Flexi,1,0.65
JAZZ_0217,93.27,34.02,32,0.47,Premium,2,0.9
JAZZ_0218,83.54,32.73,20,0.78,Premium,0,0.27
JAZZ_0219,103.6,13.66,34,0.12,Standard,1,0.85
JAZZ_0220,84.34,47.54,33,0.34,Flexi,2,0.96
JAZZ_0221,75.37,7.55,40,0.57,Premium,1,0.73
JAZZ_0222,27.66,21.62,17,0.34,Flexi,1,0.62
JAZZ_0223,55.21,47.18,10,0.67,Standard,0,0.22
JAZZ_0224,44.9,20.99,22,0.53,Standard,0,0.38
JAZZ_0225,42.77,31.93,21,0.43,Standard,0,0.41
JAZZ_0226,116.04,19.88,16,0.95,Flexi,1,0.36
JAZZ_0227,57.76,13.71,4,0.67,Premium,0,0.17
JAZZ_0228,107.9,49.2,43,0.22,Premium,1,0.89
JAZZ_0229,81.68,20.47,10,0.6,Standard,1,0.45
JAZZ_0230,98.13,44.7,29,0.8,Premium,0,0.34
JAZZ_0231,68.77,11.5,14,0.74,Standard,2,0.63
JAZZ_0232,76.23,10.66,26,0.25,Flexi,2,0.93
JAZZ_0233,67.75,1.56,34,0.98,Standard,2,0.71
JAZZ_0234,37.87,32.58,32,0.5,Flexi,1,0.68
JAZZ_0235,90.86,18.43,19,0.24,Standard,1,0.67
JAZZ_0236,46.47,43.22,15,0.26,Premium,1,0.63
JAZZ_0237,20.69,23.66,33,0.19,Premium,0,0.62
JAZZ_0238,83.12,48.41,1,0.82,Standard,1,0.28
JAZZ_0239,36.05,9.28,34,0.21,Premium,0,0.62
JAZZ_0240,112.77,43.43,39,0.21,Premium,0,0.66
JAZZ_0241,114.12,38.83,27,0.87,Premium,2,0.69
JAZZ_0242,110.19,38.55,38,0.41,Flexi,2,0.97
JAZZ_0243,55.45,42.24,5,0.13,Premium,2,0.79
JAZZ_0244,19.8,38.05,8,0.15,Flexi,0,0.41
JAZZ_0245,111.55,31.31,19,0.23,Standard,0,0.48
JAZZ_0246,61.28,6.56,0,0.29,Premium,0,0.28
JAZZ_0247,115.4,1.63,7,0.7,Premium,1,0.38
JAZZ_0248,115.09,46.04,22,0.24,Premium,0,0.5
JAZZ_0249,103.98,30.83,2,0.21,Standard,2,0.73
JAZZ_0250,47.84,39.83,3,0.79,Flexi,2,0.51
JAZZ_0251,56.95,24.08,24,0.7,Flexi,0,0.33
JAZZ_0252,103.79,5.87,37,0.49,Premium,0,0.53
JAZZ_0253,50.1,6.26,14,0.59,Standard,2,0.69
JAZZ_0254,35.28,34.28,20,0.38,Standard,0,0.43
JAZZ_0255,74.21,21.52,34,0.53,Standard,2,0.89
JAZZ_0256,112.33,10.03,13,0.56,Standard,1,0.49
JAZZ_0257,88.2,24.58,35,0.45,Standard,2,0.93
JAZZ_0258,75.54,3.21,11,0.92,Flexi,1,0.33
JAZZ_0259,28.02,29.1,16,0.11,Flexi,0,0.5
JAZZ_0260,80.06,13.45,38,0.8,Flexi,0,0.42
JAZZ_0261,117.75,39.88,8,0.21,Premium,1,0.59
JAZZ_0262,32.33,15.52,34,0.82,Standard,0,0.37
JAZZ_0263,70.34,22.76,12,0.65,Premium,1,0.45
JAZZ_0264,106.43,0.58,14,0.86,Standard,0,0.18
JAZZ_0265,92.7,3.62,17,0.19,Flexi,2,0.88
JAZZ_0266,88.3,19.62,32,0.6,Premium,0,0.44
JAZZ_0267,88.85,24.0,5,0.55,Flexi,2,0.62
JAZZ_0268,54.38,30.0,26,0.74,Standard,2,0.74
JAZZ_0269,47.76,14.58,22,0.58,Standard,1,0.56
JAZZ_0270,99.59,34.75,26,0.59,Standard,0,0.4
JAZZ_0271,99.67,43.01,33,0.49,Flexi,1,0.7
JAZZ_0272,105.39,38.99,37,0.38,Standard,0,0.58
JAZZ_0273,110.03,1.98,13,0.53,Flexi,2,0.7
JAZZ_0274,69.64,24.03,35,0.21,Premium,2,1.03
JAZZ_0275,68.65,5.25,7,0.97,Standard,0,0.07
JAZZ_0276,98.48,12.1,34,0.74,Standard,0,0.41
JAZZ_0277,83.57,49.33,18,0.96,Standard,1,0.38
JAZZ_0278,88.8,7.12,29,0.3,Premium,0,0.54
JAZZ_0279,98.23,24.94,13,0.89,Standard,0,0.16
JAZZ_0280,107.7,30.91,19,0.83,Flexi,0,0.24
JAZZ_0281,52.22,35.12,24,0.71,Flexi,1,0.53
JAZZ_0282,56.0,27.98,39,0.66,Standard,0,0.48
JAZZ_0283,27.7,0.49,23,0.38,Standard,2,0.85
JAZZ_0284,76.37,16.32,13,0.83,Premium,1,0.38
JAZZ_0285,21.86,25.89,25,0.55,Premium,1,0.6
JAZZ_0286,65.04,4.39,37,0.16,Premium,2,1.06
JAZZ_0287,72.79,17.53,22,0.38,Standard,2,0.84
JAZZ_0288,47.05,1.66,21,0.94,Premium,2,0.61
JAZZ_0289,77.63,3.93,18,0.87,Premium,0,0.21
JAZZ_0290,21.32,19.85,2,0.98,Flexi,2,0.43
JAZZ_0291,22.0,6.64,41,0.67,Premium,0,0.5
JAZZ_0292,100.92,28.38,18,0.32,Flexi,1,0.63
JAZZ_0293,54.45,34.47,8,0.25,Flexi,1,0.57
JAZZ_0294,31.02,40.03,27,0.27,Premium,2,0.93
JAZZ_0295,70.74,10.01,19,0.12,Flexi,0,0.52
JAZZ_0296,95.63,8.37,44,0.45,Standard,2,1.01
JAZZ_0297,39.94,5.23,6,0.27,Standard,2,0.75
JAZZ_0298,80.85,31.82,13,0.47,Premium,0,0.33
JAZZ_0299,26.83,35.32,8,0.94,Standard,2,0.5
JAZZ_0300,23.44,1.58,18,0.49,Flexi,1,0.56
JAZZ_0301,71.65,46.81,13,0.89,Standard,2,0.56
JAZZ_0302,72.58,2.6,37,0.64,Premium,0,0.47
JAZZ_0303,82.31,27.06,35,0.32,Premium,0,0.58
JAZZ_0304,91.22,35.45,39,0.42,Flexi,1,0.78
JAZZ_0305,116.32,43.55,16,0.18,Premium,0,0.47
JAZZ_0306,70.14,35.7,29,0.4,Standard,0,0.5
JAZZ_0307,50.71,40.09,8,0.71,Premium,1,0.39
JAZZ_0308,98.17,16.97,32,0.16,Flexi,2,1.02
JAZZ_0309,45.47,40.74,24,0.28,Premium,1,0.7
JAZZ_0310,62.37,4.01,13,0.44,Standard,2,0.74
JAZZ_0311,26.13,44.74,10,0.98,Flexi,1,0.3
JAZZ_0312,20.8,27.38,34,0.81,Standard,2,0.78
JAZZ_0313,115.0,40.86,40,0.76,Flexi,1,0.65
JAZZ_0314,102.27,22.62,13,0.2,Premium,2,0.84
JAZZ_0315,88.2,32.18,29,0.8,Flexi,1,0.54
JAZZ_0316,59.35,26.32,40,0.81,Flexi,2,0.83
JAZZ_0317,35.67,36.58,3,0.64,Premium,1,0.37
JAZZ_0318,33.97,4.08,3,0.99,Standard,0,0.03
JAZZ_0319,43.4,3.02,27,0.39,Premium,2,0.88
JAZZ_0320,73.45,12.36,7,0.95,Flexi,1,0.28
JAZZ_0321,90.07,7.98,1,0.92,Premium,2,0.44
JAZZ_0322,84.6,43.59,40,0.11,Flexi,2,1.11
JAZZ_0323,46.38,10.96,21,0.51,Premium,1,0.58
JAZZ_0324,114.21,48.79,40,0.98,Premium,2,0.76
JAZZ_0325,92.41,16.84,15,0.19,Standard,1,0.66
JAZZ_0326,73.96,9.11,28,0.59,Flexi,0,0.41
JAZZ_0327,79.73,39.48,29,0.98,Standard,2,0.67
JAZZ_0328,60.42,32.94,11,0.6,Flexi,0,0.26
JAZZ_0329,43.15,24.91,34,0.27,Premium,2,0.99
JAZZ_0330,54.03,27.77,10,0.62,Flexi,2,0.64
JAZZ_0331,94.41,35.96,20,0.28,Standard,2,0.87
JAZZ_0332,19.7,11.42,20,0.57,Standard,1,0.55
JAZZ_0333,29.92,49.82,4,0.17,Standard,0,0.37
JAZZ_0334,22.87,48.74,19,0.64,Flexi,2,0.71
JAZZ_0335,22.34,32.52,36,0.57,Standard,1,0.69
JAZZ_0336,104.22,9.98,2,0.77,Standard,2,0.51
JAZZ_0337,88.97,34.01,43,0.67,Standard,1,0.71
JAZZ_0338,65.9,3.61,32,0.59,Premium,2,0.85
JAZZ_0339,28.08,1.53,8,0.72,Premium,0,0.18
JAZZ_0340,67.66,12.88,8,0.23,Flexi,0,0.38
JAZZ_0341,65.83,23.13,3,0.64,Flexi,2,0.57
JAZZ_0342,35.66,43.41,34,0.25,Standard,1,0.8
JAZZ_0343,61.85,36.36,16,0.93,Premium,2,0.57
JAZZ_0344,58.3,37.14,33,0.16,Standard,1,0.83
JAZZ_0345,80.14,21.27,23,0.49,Standard,2,0.81
JAZZ_0346,82.08,17.3,31,0.73,Premium,1,0.58
JAZZ_0347,22.8,18.55,0,0.51,Premium,0,0.2
JAZZ_0348,55.9,49.38,7,0.18,Premium,2,0.79
JAZZ_0349,81.15,2.01,44,0.6,Flexi,0,0.55
JAZZ_0350,68.82,43.35,22,0.68,Flexi,0,0.32
JAZZ_0351,104.33,28.93,39,0.73,Standard,2,0.85
JAZZ_0352,84.45,21.93,11,0.44,Flexi,2,0.72
JAZZ_0353,34.62,36.26,11,0.61,Premium,1,0.45
JAZZ_0354,25.34,24.33,14,0.51,Premium,1,0.52
JAZZ_0355,82.81,43.67,40,0.7,Flexi,0,0.48
JAZZ_0356,20.91,45.04,18,0.63,Standard,1,0.51
JAZZ_0357,77.12,21.09,25,0.57,Standard,1,0.59
JAZZ_0358,112.74,13.84,28,0.32,Flexi,2,0.92
JAZZ_0359,76.09,29.62,21,0.1,Standard,1,0.75
JAZZ_0360,57.26,45.62,39,0.26,Standard,0,0.64
JAZZ_0361,82.9,10.53,20,0.21,Standard,1,0.69
JAZZ_0362,64.3,31.15,37,0.5,Premium,0,0.53
JAZZ_0363,73.08,31.58,19,0.65,Premium,2,0.71
JAZZ_0364,112.87,36.66,28,0.29,Flexi,0,0.53
JAZZ_0365,57.05,6.58,3,0.95,Premium,1,0.25
JAZZ_0366,114.85,35.79,6,0.11,Standard,2,0.81
JAZZ_0367,109.24,45.45,27,0.8,Premium,1,0.52
JAZZ_0368,37.93,8.98,27,0.66,Flexi,2,0.78
JAZZ_0369,25.22,11.88,3,0.44,Premium,2,0.65
JAZZ_0370,28.38,48.57,21,0.15,Standard,1,0.73
JAZZ_0371,20.08,9.05,11,0.66,Standard,1,0.43
JAZZ_0372,27.74,42.72,44,0.45,Flexi,2,1.01
JAZZ_0373,86.89,24.61,2,0.94,Premium,2,0.44
JAZZ_0374,25.4,12.36,21,0.59,Premium,1,0.55
JAZZ_0375,50.31,43.54,43,0.95,Premium,0,0.4
JAZZ_0376,103.16,22.27,1,0.3,Standard,1,0.49
JAZZ_0377,20.59,25.74,23,0.75,Flexi,2,0.7
JAZZ_0378,100.1,17.96,33,0.66,Premium,1,0.63
JAZZ_0379,46.58,29.65,26,0.77,Standard,0,0.32
JAZZ_0380,30.13,8.18,40,0.29,Standard,1,0.84
JAZZ_0381,88.27,19.55,0,0.7,Standard,2,0.52
JAZZ_0382,81.46,48.47,7,0.55,Premium,1,0.44
JAZZ_0383,106.44,12.91,22,0.77,Premium,2,0.69
JAZZ_0384,92.12,32.84,37,0.39,Premium,2,0.97
JAZZ_0385,99.0,16.26,5,0.9,Premium,1,0.28
JAZZ_0386,46.59,38.67,21,0.18,Premium,2,0.91
JAZZ_0387,36.08,6.54,24,0.83,Premium,2,0.68
JAZZ_0388,93.69,48.49,17,0.88,Premium,0,0.2
JAZZ_0389,99.34,22.69,16,0.84,Premium,0,0.21
JAZZ_0390,117.8,11.8,11,0.56,Premium,0,0.27
JAZZ_0391,59.72,3.67,5,0.49,Standard,0,0.25
JAZZ_0392,55.64,8.49,25,1.0,Premium,2,0.62
JAZZ_0393,96.28,25.99,26,0.31,Flexi,1,0.71
JAZZ_0394,52.5,16.85,7,0.59,Standard,2,0.63
JAZZ_0395,111.79,41.44,18,0.7,Premium,2,0.68
JAZZ_0396,104.52,21.54,41,0.73,Flexi,2,0.87
JAZZ_0397,61.36,12.44,0,0.28,Premium,1,0.49
JAZZ_0398,93.71,30.86,28,0.69,Flexi,0,0.37
JAZZ_0399,94.08,35.34,44,0.84,Flexi,2,0.86
JAZZ_0400,28.61,8.35,34,0.15,Flexi,2,1.04
JAZZ_0401,108.96,8.38,39,0.92,Flexi,0,0.38
JAZZ_0402,69.03,1.83,13,0.13,Standard,2,0.86
JAZZ_0403,101.31,36.82,34,0.42,Standard,1,0.73
JAZZ_0404,50.41,33.19,44,0.11,Flexi,2,1.15
JAZZ_0405,108.25,23.73,19,0.17,Premium,2,0.9
JAZZ_0406,57.36,42.21,12,0.92,Flexi,0,0.14
JAZZ_0407,19.34,40.28,37,0.42,Standard,2,0.96
JAZZ_0408,109.24,29.27,7,0.48,Premium,2,0.67
JAZZ_0409,27.42,43.41,42,0.29,Standard,1,0.86
JAZZ_0410,50.34,10.29,19,0.64,Standard,0,0.31
JAZZ_0411,113.73,5.6,32,0.64,Premium,0,0.43
JAZZ_0412,113.79,13.49,25,0.43,Flexi,1,0.65
JAZZ_0413,75.88,2.85,38,0.4,Flexi,2,0.98
JAZZ_0414,81.75,26.56,20,0.9,Flexi,0,0.22
JAZZ_0415,63.32,46.83,41,0.44,Flexi,0,0.59
