user_id,avg_monthly_spend,data_usage_gb,days_since_last_recharge,signal_strength_score,active_plan,support_tickets_open,churn
8741-LQOBK,35.05,16.81,11,0.895,Flexi,3,0
9481-SFCQY,59.8,19.47,15,0.9607,Flexi,1,0
1982-FEBTD,25.6,1.84,21,0.5947,Premium,0,0
1122-JWTJW,70.65,37.94,11,0.8283,Flexi,0,1
0691-NIKRI,105.95,53.34,15,0.9285,Standard,0,0
7325-ENZFI,40.3,25.96,20,0.6927,Standard,0,0
3751-KTZEL,35.05,9.31,25,0.691,Flexi,1,1
6483-OATDN,51.3,25.16,25,0.3301,Flexi,4,0
4763-PGDPO,70.4,50.82,10,0.6722,Flexi,1,1
5146-CBVOE,75.1,42.16,12,0.5643,Flexi,1,0
2664-XJZNO,104.9,56.59,14,0.8776,Premium,0,0
7203-OYKCT,104.95,56.09,10,0.5973,Standard,0,0
0618-XWMSS,74.9,29.22,18,0.5093,Flexi,0,1
8201-AAXCB,60.35,44.4,12,0.8246,Flexi,0,0
2391-SOORI,49.35,12.91,17,0.8468,Flexi,1,1
7205-BAIAD,20.6,0.55,10,0.8138,Premium,0,0
9231-ZJYAM,78.85,49.14,14,0.814,Flexi,1,1
8166-ORCHU,93.55,29.13,14,0.8448,Standard,2,0
5447-VYTKW,53.45,31.83,15,0.6758,Flexi,0,0
2798-NYLMZ,108.55,64.93,21,0.805,Premium,0,0
2625-TRCZQ,49.65,16.81,11,0.241,Flexi,2,0
6407-UTSLV,83.8,33.81,12,0.9072,Flexi,1,0
1564-NTYXF,82.0,30.99,16,0.65,Flexi,3,1
7963-SHNDT,39.1,41.07,9,0.6236,Premium,0,0
7576-JMYWV,110.2,36.25,14,0.653,Flexi,0,0
5231-FIQPA,19.85,1.06,11,0.3047,Premium,0,0
1174-FGIFN,90.45,41.46,14,0.7551,Standard,2,0
7537-RBWEA,25.15,15.49,15,0.6412,Flexi,0,0
8562-GHPPI,19.8,0.0,15,0.9047,Flexi,1,0
6384-VMJHP,73.0,20.08,11,0.6925,Premium,0,0
0122-OAHPZ,73.85,42.89,12,0.6479,Flexi,0,1
5304-EFJLP,111.65,39.53,20,0.5776,Premium,1,0
8993-IZEUX,69.15,61.03,9,0.629,Flexi,0,0
8234-GSZYK,26.45,4.17,23,0.4418,Premium,1,0
0428-IKYCP,87.0,25.1,12,0.3818,Flexi,0,0
0599-XNYDO,69.8,71.66,14,0.8836,Flexi,0,0
9498-FIMXL,19.2,3.69,17,0.3838,Standard,1,0
1950-KSVVJ,113.3,23.31,15,0.7315,Standard,1,0
3234-VKACU,70.3,30.51,17,0.8824,Flexi,1,0
9805-FILKB,20.2,3.86,8,0.5126,Standard,0,0
0248-PGHBZ,92.45,44.75,9,0.6601,Premium,0,0
3131-NWVFJ,19.55,2.59,15,0.8408,Standard,0,0
1370-GGAWX,94.15,56.66,15,0.9062,Standard,0,0
4702-HDRKD,49.35,26.47,10,0.7422,Standard,0,0
1945-XISKS,19.65,2.68,10,0.7546,Premium,3,0
6993-YCOBK,110.6,39.52,14,0.5091,Premium,1,0
0402-CQAJN,101.9,38.06,12,0.8271,Flexi,1,1
9705-IOVQQ,99.0,59.94,15,0.5194,Standard,0,0
4878-BUNFV,20.7,2.54,15,0.4013,Premium,1,0
3853-LYGAM,95.65,44.64,20,0.6099,Flexi,1,0
2868-SNELZ,80.6,60.99,7,0.9073,Flexi,0,1
9412-ARGBX,95.5,34.86,14,0.8144,Premium,1,1
9553-DLCLU,88.95,32.9,10,0.7999,Premium,0,0
4547-FZJWE,59.45,16.01,23,0.7922,Standard,2,0
3235-ETOOB,74.5,11.71,16,0.8969,Flexi,2,1
7471-MQPOS,72.9,26.9,12,0.5829,Standard,2,0
5296-PSYVW,24.55,2.17,15,0.8104,Premium,0,0
4990-ALDGW,20.75,1.49,8,0.7907,Premium,3,0
6376-GAHQE,77.85,51.07,16,0.9207,Flexi,2,1
8513-OLYGY,115.8,37.6,12,0.716,Premium,1,0
1930-QPBVZ,95.1,27.3,20,0.523,Premium,0,0
7340-KEFQE,34.2,20.68,13,0.8277,Premium,1,0
3070-FNFZQ,20.4,1.74,13,0.7567,Premium,3,0
2545-LXYVJ,20.7,5.86,17,0.5578,Premium,1,0
5802-ADBRC,104.4,50.29,26,0.5674,Standard,2,0
5327-XOKKY,73.45,7.53,6,0.4158,Premium,0,0
0455-ENTCR,85.25,19.74,16,0.7468,Premium,0,0
2429-AYKKO,19.85,1.41,15,0.6504,Premium,1,0
4009-ALQFH,99.5,25.81,18,0.4492,Flexi,0,1
2362-IBOOY,84.75,56.83,22,0.944,Flexi,0,1
6508-NJYRO,18.8,4.22,9,0.925,Standard,0,0
6253-GNHWH,71.1,9.05,14,0.4881,Premium,1,0
3644-QXEHN,97.0,66.46,16,0.6689,Flexi,0,0
1635-HDGFT,20.5,2.28,15,0.6597,Premium,1,0
4001-TSBTV,91.55,46.98,13,0.5692,Flexi,0,0
1544-JJMYL,69.35,18.62,15,0.919,Standard,1,0
7450-NWRTR,99.45,43.28,15,0.8346,Flexi,1,1
9979-RGMZT,94.05,27.01,12,0.7897,Standard,1,0
9451-WLYRI,19.05,4.36,13,0.8936,Standard,0,0
1853-UDXBW,70.0,54.9,9,0.9363,Flexi,1,1
6490-FGZAT,20.65,0.0,17,0.6928,Flexi,1,0
8382-SHQEH,84.9,59.57,16,0.7954,Flexi,1,1
3841-CONLJ,35.0,13.01,12,0.8036,Flexi,1,0
0727-BNRLG,97.65,45.66,18,0.828,Premium,1,0
5197-LQXXH,83.3,26.03,18,0.7982,Premium,2,0
6898-MDLZW,53.75,21.84,11,0.4375,Flexi,0,0
7442-YGZFK,49.8,32.39,17,0.9413,Flexi,1,0
8165-ZJRNM,23.75,2.34,14,0.6381,Premium,0,0
1172-VIYBP,69.7,24.58,21,0.9691,Premium,1,0
3590-TCXTB,20.35,0.0,13,0.628,Flexi,2,0
3166-PNEOF,86.45,13.01,19,0.7287,Premium,0,0
7654-YWJUF,84.25,28.0,15,0.3974,Standard,0,0
5766-ZJYBB,19.4,3.25,15,0.8927,Flexi,0,1
4132-POCZS,39.9,22.88,19,0.8857,Flexi,1,0
1596-OQSPS,51.1,27.72,13,0.864,Flexi,0,0
3011-WQKSZ,20.0,4.12,17,0.3707,Flexi,3,0
1010-DIAUQ,96.5,76.93,19,0.3153,Flexi,0,1
9108-EQPNQ,26.1,0.0,10,0.5013,Premium,0,0
7072-MBHEV,78.1,58.58,10,0.8604,Flexi,0,0
6825-UYPFK,75.6,76.94,18,0.7157,Flexi,1,1
4836-WNFNO,25.0,3.8,19,0.517,Premium,2,0
2821-WARNZ,19.45,1.79,10,0.6233,Standard,0,0
1930-WNXSB,92.85,74.49,16,0.6579,Flexi,0,0
1264-FUHCX,56.3,27.36,16,0.8708,Standard,0,0
6288-LBEAR,79.1,53.14,16,0.8744,Flexi,1,0
0324-BRPCJ,100.2,40.49,14,0.7777,Flexi,0,1
8706-HRADD,43.55,13.15,18,0.9284,Flexi,2,0
7969-AULMZ,97.35,43.7,12,0.6252,Flexi,1,1
8395-ETZKQ,19.5,1.65,10,0.8687,Standard,0,0
7225-IILWY,25.75,1.97,21,0.5229,Premium,1,0
9432-RUVSL,102.5,53.69,12,0.9211,Premium,0,0
3472-QPRCH,25.25,1.11,18,0.7238,Premium,0,0
2359-KMGLI,80.25,60.04,8,0.3385,Flexi,0,1
6586-PSJOX,55.2,24.81,18,0.6121,Standard,0,0
7596-ZYWBB,59.6,19.75,16,0.6798,Premium,0,0
6877-LGWXO,78.55,33.43,17,0.9217,Flexi,1,1
5656-MJEFC,48.15,20.04,13,0.8434,Premium,0,0
3365-SAIGS,83.55,40.32,15,0.7641,Flexi,1,0
5995-WWKKG,19.8,1.6,20,0.8524,Standard,1,0
5570-PTWEH,75.15,63.9,16,0.742,Flexi,0,1
8454-AATJP,115.05,25.16,20,0.8674,Premium,0,0
8510-TMWYB,59.8,26.72,9,0.421,Premium,0,0
1345-GKDZZ,19.55,1.87,9,0.675,Flexi,0,0
4822-RVYBB,100.6,48.35,13,0.6273,Flexi,1,1
8096-LOIST,56.2,7.8,13,0.5812,Flexi,0,0
1041-RXHRA,70.25,24.63,13,0.6982,Flexi,0,1
4188-FRABG,103.05,62.49,11,0.875,Flexi,0,0
7293-LSCDV,19.25,2.71,13,0.6076,Premium,1,0
7898-PDWQE,80.4,32.78,11,0.6557,Premium,1,0
8314-DPQHL,50.8,24.58,14,0.5825,Standard,2,0
4704-ERYFC,69.25,28.3,16,0.7113,Flexi,0,1
0620-DLSLK,81.9,55.13,13,0.6799,Flexi,1,0
5130-IEKQT,105.95,49.09,13,0.4004,Flexi,1,1
1830-GGFNM,94.55,70.02,13,0.667,Premium,1,0
4674-HGNUA,89.9,12.52,21,0.8629,Premium,0,0
1555-DJEQW,114.2,32.6,13,0.6073,Premium,1,1
6288-CHQJB,69.95,31.19,9,0.8734,Premium,0,0
6542-LWGXJ,25.0,18.79,16,0.5568,Flexi,1,0
2876-VBBBL,20.25,0.0,14,0.7063,Flexi,1,1
6479-SZPLM,19.45,1.28,15,0.759,Premium,0,0
1363-TXLSL,70.3,64.92,17,0.7048,Flexi,0,1
8904-OPDCK,24.95,24.6,13,0.9339,Flexi,0,0
6400-BWQKW,79.05,39.86,9,0.7463,Flexi,0,1
4950-BDEUX,49.2,17.28,12,0.7316,Flexi,0,0
3966-HRMZA,75.05,67.14,19,0.9577,Flexi,1,0
3672-YITQD,84.1,54.47,11,0.5952,Flexi,1,1
9817-APLHW,25.0,1.95,7,0.4301,Flexi,0,0
1899-VXWXM,106.1,71.78,20,0.6966,Standard,1,1
3097-IDVPU,50.1,37.85,11,0.6185,Flexi,0,0
2599-CZABP,44.6,15.87,21,0.9475,Standard,0,0
0963-ZBDRN,96.2,45.38,21,0.8315,Flexi,0,1
4993-JCRGJ,84.3,49.25,16,0.6976,Flexi,2,0
7524-VRLPL,74.1,15.06,18,0.553,Premium,0,0
4800-VHZKI,19.9,0.51,14,0.9056,Flexi,3,1
6942-LBFDP,20.55,2.59,6,0.7521,Flexi,0,0
3655-SNQYZ,113.25,40.26,21,0.8827,Premium,0,0
4807-IZYOZ,20.65,2.3,10,0.8767,Premium,0,0
6906-MPARY,89.6,62.67,11,0.5176,Standard,2,0
9505-SQFSW,40.3,25.36,15,0.9092,Flexi,2,0
4063-EIKNQ,20.95,1.82,21,0.9306,Flexi,0,0
0123-CRBRT,88.1,30.47,15,0.7342,Premium,1,0
6583-QGCSI,88.05,21.43,18,0.8666,Flexi,0,1
9332-GYWLO,54.85,9.79,12,0.2876,Flexi,2,0
9921-EZKBY,95.3,38.37,8,0.8859,Flexi,1,0
8079-XRJRS,89.75,53.6,11,0.531,Standard,0,1
1395-WSWXR,20.75,2.21,14,0.7888,Premium,0,0
7542-CYDDM,20.05,2.22,16,0.7329,Flexi,0,0
0854-UYHZD,19.55,1.85,16,0.6882,Premium,1,0
8327-WKMIE,20.15,1.94,17,0.4814,Standard,1,0
6681-ZSEXG,59.5,25.41,17,0.9656,Premium,2,0
5759-RCVCB,35.2,13.97,19,0.8812,Flexi,1,1
8699-ASUFO,74.4,38.81,17,0.5356,Flexi,3,1
6303-KFWSL,55.25,14.74,15,0.5736,Standard,1,0
7776-QWNFX,50.4,19.0,15,0.3498,Flexi,2,1
9761-XUJWD,65.6,19.64,13,0.8196,Flexi,0,0
3276-HDUEG,75.05,57.42,13,0.7181,Flexi,0,1
2898-MRKPI,101.05,58.33,13,0.8787,Standard,0,0
8861-HGGKB,86.45,41.62,17,0.7906,Flexi,0,1
9565-AXSMR,19.2,1.91,19,0.5712,Premium,0,0
1755-RMCXH,20.3,2.63,20,0.8177,Flexi,1,0
3372-KWFBM,86.6,53.07,15,0.7799,Flexi,0,1
2642-MAWLJ,20.25,1.79,15,0.846,Premium,1,0
6815-ABQFQ,107.25,47.33,10,0.7827,Standard,0,0
9661-ACXBS,105.2,45.08,17,0.7283,Flexi,2,1
0902-XKXPN,20.2,0.28,19,0.5856,Premium,2,0
5321-NTRKC,79.85,16.52,15,0.5546,Premium,0,0
5167-ZFFMM,90.85,51.69,13,0.6974,Flexi,1,1
0577-WHMEV,90.7,32.98,8,0.9327,Flexi,0,0
6486-LHTMA,90.7,48.66,15,0.7727,Standard,0,0
6746-WAUWT,19.7,3.1,19,0.9129,Standard,1,0
3923-CSIHK,71.05,25.62,14,0.8994,Flexi,0,1
3665-JATSN,39.7,24.27,18,0.5537,Flexi,1,0
0187-QSXOE,89.0,54.67,23,0.4234,Flexi,1,0
3096-JRDSO,104.3,36.2,11,0.6338,Flexi,3,1
6918-UMQCG,80.2,38.13,16,0.5533,Flexi,2,0
4709-LKHYG,20.0,2.37,14,0.8459,Standard,0,0
2921-XWDJH,83.45,41.09,17,0.7906,Flexi,0,0
0112-QAWRZ,90.8,30.03,13,0.7347,Flexi,0,0
3571-RFHAR,109.15,13.38,13,0.8686,Flexi,0,1
2794-XIMMO,60.45,12.41,12,0.7944,Standard,1,1
5334-JLAXU,94.1,19.7,15,0.6751,Flexi,0,0
1987-AUELQ,25.05,1.78,14,0.5697,Premium,1,0
7089-XXAYG,38.1,14.0,28,0.6537,Standard,1,0
9361-YNQWJ,24.4,1.31,9,0.5437,Standard,0,0
9185-TQCVP,85.15,66.99,11,0.5535,Flexi,0,1
8200-LGKSR,83.2,16.72,21,0.4666,Premium,2,0
5076-YVXCM,83.4,42.14,12,0.5183,Flexi,1,0
4611-ANLQC,50.05,16.65,23,0.9065,Standard,0,0
0329-GTIAJ,97.9,84.05,11,0.8256,Flexi,1,1
8098-TDCBU,25.25,2.04,16,0.6669,Premium,1,0
9313-QOLTZ,20.9,2.3,13,0.3295,Flexi,0,0
1937-OTUKY,98.2,57.31,22,0.3992,Premium,1,0
7696-AMHOD,78.0,12.51,16,0.7305,Standard,0,0
7951-VRDVK,85.85,24.25,25,0.7313,Standard,2,0
5842-POCOP,88.9,42.71,12,0.8918,Flexi,1,1
4992-LTJNE,55.3,13.84,19,0.8875,Premium,1,0
4484-CGXFK,55.3,36.8,20,0.8791,Flexi,0,1
6322-PJJDJ,94.8,79.89,13,0.7881,Premium,2,0
8631-NBHFZ,79.4,8.97,18,0.9244,Premium,0,1
1209-VFFOC,56.4,24.32,8,0.8726,Premium,0,0
8654-DHAOW,54.15,21.36,13,0.4831,Flexi,0,0
0505-SPOOW,19.8,2.15,10,0.528,Premium,2,0
1915-OAKWD,19.3,3.2,9,0.9236,Standard,1,0
1200-TUZHR,85.2,29.54,11,0.3313,Flexi,2,0
9408-SSNVZ,70.15,23.29,16,0.7682,Flexi,0,1
8008-OTEZX,19.65,3.1,12,0.5767,Standard,1,0
4351-QLCSU,55.0,34.1,12,0.864,Flexi,1,1
9944-HKVVB,95.1,52.95,13,0.7464,Flexi,1,1
3508-VLHCZ,90.55,28.94,17,0.5928,Premium,0,0
8224-KDLKN,25.0,1.01,14,0.8413,Premium,1,0
3594-BDSOA,20.4,2.33,15,0.7087,Standard,0,0
6199-IWKGC,100.25,66.94,25,0.4717,Standard,0,0
1460-UZPRJ,19.95,1.83,14,0.9434,Premium,0,0
4433-JCGCG,101.0,56.43,21,0.8749,Flexi,2,1
1501-SGHBW,45.85,16.27,14,0.7807,Flexi,0,1
5505-OVWQW,20.15,0.0,17,0.3338,Standard,0,0
7564-GHCVB,79.05,10.63,11,0.8721,Premium,0,0
5951-AOFIH,66.4,16.67,17,0.6893,Flexi,0,0
5248-YGIJN,90.25,15.5,11,0.9529,Premium,2,0
7841-TZDMQ,46.0,30.51,13,0.7104,Flexi,0,1
1226-JZNKR,19.8,2.07,13,0.8913,Standard,2,0
4697-LUPSU,20.2,1.18,12,0.7243,Standard,0,0
8022-BECSI,19.6,0.26,16,0.7369,Standard,1,0
0365-GXEZS,78.2,35.19,12,0.8442,Flexi,1,0
4003-FUSHP,61.55,14.99,15,0.9377,Flexi,1,0
8659-IOOPU,100.45,55.02,15,0.7488,Premium,0,0
9261-WDCAF,54.65,16.18,21,0.6592,Flexi,0,0
0121-SNYRK,35.4,23.42,14,0.711,Standard,2,0
1764-VUUMT,19.95,0.0,7,0.825,Premium,0,0
6729-GDNGC,80.7,35.45,20,0.3296,Flexi,0,0
4282-MSACW,117.2,39.07,18,0.8307,Standard,0,0
6892-BOGQE,20.9,1.11,20,0.5009,Premium,1,0
2186-QZEYA,58.55,27.14,19,0.4149,Flexi,0,0
1043-UXOVO,113.15,57.28,14,0.6307,Premium,0,0
3417-TSCIC,24.85,18.5,12,0.6201,Standard,0,0
3763-GCZHZ,104.05,59.99,23,0.8473,Standard,0,1
8879-XUAHX,116.25,50.62,17,0.9039,Premium,1,0
0595-ITUDF,91.8,37.95,9,0.8513,Flexi,2,0
0292-WEGCH,86.2,19.88,5,0.9072,Flexi,0,0
3393-FMZPV,100.25,26.63,13,0.9424,Flexi,0,1
1391-UBDAR,72.9,43.35,19,0.7106,Flexi,0,0
4821-SJHJV,89.6,32.54,20,0.6232,Flexi,0,0
9861-PDSZP,108.05,25.32,19,0.7789,Premium,0,0
4644-OBGFZ,19.5,0.3,16,0.6474,Standard,2,0
5385-SUIRI,104.2,64.3,24,0.3924,Flexi,0,1
8582-KRHPJ,35.0,16.13,21,0.6475,Flexi,1,0
3955-JBZZM,78.8,38.16,11,0.9502,Flexi,2,0
3727-OWVYD,61.2,25.84,13,0.9076,Standard,2,0
3373-YZZYM,19.2,2.37,10,0.6594,Flexi,0,0
8485-GJCDN,69.05,57.4,10,0.719,Flexi,1,1
3348-CFRNX,92.35,41.23,13,0.6726,Flexi,3,1
8325-QRPZR,75.15,72.03,17,0.8425,Flexi,0,0
9154-QDGTH,104.3,33.57,15,0.6042,Standard,0,0
4079-ULGFR,20.0,1.84,19,0.8618,Flexi,0,0
1355-KUSBG,48.8,13.59,14,0.706,Flexi,0,0
0506-LVNGN,75.55,19.42,16,0.6153,Flexi,0,1
8216-AZUUZ,100.4,46.66,8,0.4222,Premium,1,0
5583-SXDAG,70.0,48.3,10,0.6852,Flexi,1,1
5569-IDSEY,105.7,22.28,17,0.6665,Standard,0,0
6227-HWPWX,69.0,65.06,21,0.6802,Flexi,1,1
8456-QDAVC,78.7,59.06,24,0.6696,Flexi,0,0
9402-ORRAH,91.5,27.53,15,0.8924,Flexi,0,0
4430-UZIPO,36.85,27.86,18,0.8995,Flexi,1,1
6682-VCIXC,51.25,29.5,15,0.9003,Standard,2,0
5997-OPVFA,89.05,10.34,16,0.793,Premium,2,0
1986-PHGZF,58.4,20.44,16,0.4945,Flexi,1,0
7445-WMRBW,73.85,13.38,9,0.5118,Standard,3,0
3831-YCPUO,109.5,18.4,16,0.6358,Premium,1,0
5624-RYAMH,19.5,0.63,16,0.9791,Flexi,0,0
9700-ZCLOT,20.0,0.0,13,0.7427,Flexi,1,0
4114-QMKVN,68.75,17.72,19,0.7219,Standard,1,0
3798-EPWRR,43.95,16.66,17,0.7838,Flexi,0,0
3556-BVQGL,20.0,2.97,13,0.7313,Standard,0,0
4393-GEADV,114.75,65.53,15,0.7745,Premium,2,0
8967-SZQAS,50.45,12.3,18,0.8308,Flexi,0,0
4163-HFTUK,19.1,0.83,18,0.7756,Standard,0,0
8659-HDIYE,74.65,26.8,22,0.7711,Flexi,4,0
4355-CVPVS,88.9,67.16,17,0.6892,Standard,0,0
1265-BCFEO,80.45,26.14,20,0.9896,Premium,0,0
3863-IUBJR,53.65,26.2,12,0.8677,Standard,0,1
0177-PXBAT,109.9,47.4,19,0.7293,Flexi,0,0
5389-FFVKB,80.3,48.16,9,0.6249,Flexi,1,1
4831-EOBFE,94.65,38.29,18,0.7125,Flexi,1,1
7995-ZHHNZ,56.1,28.12,14,0.8981,Standard,2,0
6893-ODYYE,90.1,36.21,19,0.5289,Standard,0,0
6647-ZEDXT,110.45,46.08,13,0.942,Standard,0,0
7268-WNTCP,20.45,2.18,23,0.4758,Premium,0,0
3312-UUMZW,98.85,38.36,13,0.7088,Flexi,2,0
2499-AJYUA,110.8,53.86,23,0.6245,Premium,1,0
1450-SKCVI,73.85,43.92,9,0.7748,Flexi,1,1
2330-PQGDQ,84.2,27.46,15,0.4351,Standard,1,0
2952-QAYZF,85.3,80.74,13,0.4189,Flexi,0,1
4468-KAZHE,60.0,14.36,18,0.8463,Flexi,1,0
5777-ZPQNC,20.15,2.79,12,0.7948,Standard,0,0
4523-WXCEF,101.1,46.78,14,0.8961,Flexi,0,1
0280-XJGEX,103.7,25.47,15,0.6899,Flexi,0,1
3410-YOQBQ,79.2,26.45,15,0.749,Premium,0,0
7055-VKGDA,105.4,53.65,17,0.5725,Standard,2,1
5829-NVSQN,68.75,33.84,17,0.7381,Standard,0,0
2632-TACXW,23.65,2.71,11,0.7791,Premium,0,0
0458-HEUZG,35.4,38.36,14,0.8552,Premium,1,0
9581-GVBXT,34.8,24.06,19,0.8225,Standard,1,0
4293-ETKAP,79.4,19.94,15,0.8378,Premium,0,0
0679-IDSTG,69.25,48.86,15,0.8566,Flexi,1,1
2877-VDUER,40.9,28.25,19,0.7518,Standard,0,0
0689-NKYLF,83.2,53.45,16,0.7658,Flexi,1,1
7562-GSUHK,93.2,65.99,16,0.5384,Flexi,0,1
7011-CVEUC,95.7,23.85,17,0.719,Flexi,0,0
4320-QMLLA,54.85,30.76,14,0.9582,Flexi,1,0
3744-ZBHON,20.2,3.17,19,0.807,Flexi,2,0
2254-DLXRI,79.15,27.8,16,0.6466,Flexi,2,0
2740-JFBOK,24.0,4.41,12,0.7649,Flexi,2,0
3865-ZYKAD,84.9,72.63,20,0.8434,Flexi,2,0
8715-KKTFG,103.3,38.84,14,0.6509,Standard,1,0
2845-AFFTX,99.8,36.59,18,0.3862,Flexi,0,1
8540-ZQGEA,20.05,1.03,9,0.9429,Premium,0,0
2995-UPRYS,99.2,40.43,11,0.7375,Standard,1,1
2081-KJSQF,20.25,2.14,15,0.5414,Flexi,0,0
0191-EQUUH,35.05,27.89,13,0.4953,Premium,0,0
3537-HPKQT,77.75,46.93,14,0.7062,Flexi,0,0
2519-FAKOD,99.25,35.16,23,0.5321,Flexi,1,1
1171-TYKUR,25.4,0.74,12,0.7469,Flexi,1,0
5201-USSQZ,85.9,53.73,12,0.4714,Flexi,1,0
6035-BXTTY,54.65,22.68,14,0.869,Flexi,0,0
2176-OSJUV,65.15,32.87,22,0.9544,Premium,0,0
1207-BLKSA,23.05,0.0,16,0.8186,Premium,1,0
7611-YKYTC,75.0,45.85,23,0.9822,Flexi,1,0
9530-GRMJG,84.1,31.41,24,0.9099,Premium,2,0
3870-SPZSI,113.05,63.19,18,0.7524,Premium,2,0
1730-VFMWO,50.2,22.51,12,0.7139,Flexi,0,0
5364-EVNIB,79.8,39.36,11,0.4871,Flexi,1,1
3334-CTHOL,49.95,25.28,15,0.8348,Flexi,1,1
9867-JCZSP,20.75,4.14,16,0.7438,Standard,1,0
2754-VDLTR,95.2,45.97,16,0.834,Flexi,0,1
7879-CGSFV,100.9,27.6,20,0.7187,Standard,0,0
1343-EHPYB,103.4,29.47,5,0.5213,Flexi,0,1
4598-ZADCK,53.6,25.57,14,0.8169,Standard,0,0
4299-SIMNS,81.15,37.65,17,0.8741,Flexi,0,0
7748-UMTRK,101.3,27.19,24,0.7792,Flexi,0,0
6016-NXBNJ,19.15,3.63,25,0.5666,Standard,2,0
7663-ZTEGJ,100.55,42.31,12,0.5762,Standard,0,0
6072-NUQCB,20.25,1.48,19,0.8562,Standard,1,0
9576-SYUHJ,91.15,53.33,13,0.7335,Flexi,1,0
8496-DMZUK,90.4,43.98,21,0.4321,Standard,0,0
9462-MJUAW,50.4,16.48,22,0.5373,Flexi,1,1
4143-OOBWZ,81.3,38.5,12,0.8394,Flexi,2,1
9668-PUGNU,24.5,0.0,10,0.5961,Premium,1,0
9314-IJWSQ,84.8,60.74,16,0.5643,Flexi,0,0
8859-AXJZP,23.8,2.58,18,0.8666,Premium,1,0
3055-VTCGS,58.55,26.89,18,0.8265,Standard,0,0
7551-DACSP,55.3,35.02,11,0.5661,Flexi,1,1
6734-GMPVK,105.3,64.79,23,0.4428,Flexi,0,0
5781-RFZRP,73.5,11.13,10,0.872,Premium,2,0
2223-GDSHL,116.05,36.29,15,0.717,Premium,0,0
4547-LYTDD,72.65,45.47,9,0.8738,Flexi,1,1
2235-DWLJU,44.4,12.2,17,0.62,Flexi,0,0
0254-FNMCI,109.9,46.36,15,0.625,Premium,0,0
7465-ZZRVX,70.35,52.28,12,0.9843,Flexi,2,0
4018-PPNDW,24.1,2.25,17,0.9536,Premium,1,0
5039-LZRQT,20.2,2.26,15,0.6603,Standard,0,0
9621-OUPYD,20.2,3.54,17,0.687,Standard,1,0
5348-CAGXB,89.55,30.2,21,0.3862,Flexi,0,0
4952-YSOGZ,85.95,45.49,13,0.7555,Flexi,0,1
8993-PHFWD,25.25,34.85,18,0.6452,Flexi,0,1
4304-XUMGI,75.15,18.28,11,0.4631,Premium,0,0
5356-RHIPP,20.2,4.87,13,0.7142,Flexi,0,1
0021-IKXGC,72.1,19.88,14,0.8175,Flexi,0,0
1447-GIQMR,69.15,72.46,11,0.8129,Flexi,0,1
7330-WZLNC,90.8,32.86,18,0.6139,Flexi,0,1
2560-PPCHE,105.05,41.43,13,0.9219,Standard,1,0
7379-FNIUJ,100.2,52.22,11,0.9052,Flexi,0,0
1357-BIJKI,98.25,73.54,14,0.7248,Standard,1,0
1335-MXCSE,55.25,34.78,17,0.5181,Premium,1,0
2037-XJFUP,95.8,50.75,14,0.9485,Standard,0,1
